nid_id,state_id,dam_name,Data_Source,Gaged,Basin_study,other_dam_name,status,island,county,state,latitude,longitude,basin?,stream_name,dam_purpose,private_dam_on_fed_prop,watershed,TMK,dam_type,pmf_inflow,TMK2,nearest_city,nearest_city_distance,dam_designer,year_completed,year_last_modified,size,regulated_height,volume,dam_length,dam_height,hazard,structural_height,hydraulic_height,maximum_storage,normal_storage,surface_area,drainage_area,,spillway_type,spillway_control,spillway_width,spillway_max_discharge,spillway_protection,spillway_length,spillway_wall_height,outlet_type,ogee_present,outlet_access,outlet_max_discharge,outlet_control_location,outlet_size,staff_gage_level,min_crest_width,upstream_slope_grade,upstream_protection,downstream_slope_grade,downstream_protection,waterbodytype,last_inspection_date,inspection_frequency,hazard_analysis_date,eap,eap_date,eap_createdby,OnlineEAP,OnlineEAPDate,certificate_to_impound_date,district_code,district_name,representative,party,electronic_gauge_url,top_of_crest,spillway_crest,operating_level,dam_former_name,state_reg_agency,core,foundation,nid_height,nid_storage,number_of_locks,length_of_locks,width_of_locks,fed_funding,fed_design,fed_construction,fed_regulatory,fed_inspection,fed_operation,fed_owner,fed_other,source_agency,submit_date,url_address,ConditionAssessment,ConditionAssessmentDate,ConditionAssessmentDetail,RiskAssessmentDate,operational_status,operational_status_date,EnforcementAuthority,InspectionAuthority,JurisdictionalDam,NumSeparateStructures,OtherStructureID,PermittingAuthority,RecordID,dam_type_nid,hazard_nid,spillway_type_nid,outlet_type_nid,access_surface_description,access_method_description,om_onfile,om_date,hhreport_onfile,hhreport_date,stabilityreport_onfile,stabilityreport_date,level_restriction,restriction_basis,last_nod_date,population_at_risk,parcel_count,critical_facility,school_count,realtime_gauge,DLNRAlertOnLevel,DLNRAlertOffLevel,PMF_level,Flood100yr,Owner_Type,owner
HI00157,HA-0157,PA AALII RESERVOIR,NA,N,N,,Active,Hawaii,Hawaii,HI,19.89705,-155.664295,No,"Kohakohau Stream, three stream diversions",Other,FALSE,Waimea,6-7-001-025-0000,Earthen,,,Waikoloa Village,10,,1940,2021,Small,36,,,36,High,,,96.4,101,,,#DIV/0!,Channel,Uncontrolled,19,,HDPE Liner,,2.5,Valve,FALSE,,,"Northwest embankment, upstream","6""",,12,20,HDPE Liner,18,Vegetation,State Regulated Dam,5/31/2023,0,,FALSE,,,N,,,2,2nd Congressional District,Jill Tokuda,Democratic ,,,,,,DLNR,,,36,101,,,,,,,,,,,,,,https://dams.hawaii.gov/DamInformation.aspx?id=CCEDF7D7-A2C6-41D2-A18A-B4BCE56B5CD9,,,,,,,TRUE,TRUE,TRUE,1,,TRUE,,RE,H,U,V,Unpaved,,0,,0,,0,,,,,,,,,FALSE,,,,,P,"PR Mauna Kea, LLC"
HI00002,KA-0002,PUU LUA RESERVOIR,NA,N,N,,Active,Kauai,Kauai,HI,22.088335,-159.678449,No,TR-HAELELE STREAM OFFSTREAM,Fish & Wildlife Pond,FALSE,Haeleele,(4) 1-4-001:002,Earthen,,,Kekaha,8.3,,1925,1980,Large,105,,640,105,High,110,105,888,844,12.6,0.08,0.006349206,Channel,Uncontrolled,24,,Bare Soil,24,24,Valve,FALSE,On Dam,,Mid-dam Control,unknown,63,18,19.6,Bare Soil,24,Vegetation,State Regulated Dam,11/4/2021,5,6/1/2009,TRUE,9/2/2022 14:27,State DLNRLAND,Y,9/2/2022 14:27,,2,2nd Congressional District,Jill Tokuda,Democratic ,,105,105,56,,DLNR,X,U,110,888,0,0,0,,,,,,,,,HI,,https://dams.hawaii.gov/DamInformation.aspx?id=C14EB5EC-E1CB-4304-B013-7AE2B1ED7167,UNSATISFACTORY,12/15/2022,"No Spillway, cannot Pass IDF, non-maintained woody vegetation, stability, seepage.",,"Under Investigation, Planning, Permitting, or Design for Remediation",1/6/2023,TRUE,TRUE,TRUE,,,TRUE,14742,RE,H,U,V,Unpaved,4x4 (wet conditions only),0,,0,,0,,59,,10/19/2017,0,8,0,0,FALSE,,,,,S,Hawaii Dept of Land & Natural Resources
HI00003,KA-0003,PUU OPAE RESERVOIR,NA,N,N,,Active,Kauai,Kauai,HI,22.03903,-159.723612,No,TR-NUI STREAM OFFSTREAM,Irrigation,FALSE,Niu,(4) 1-2-002:023,Earthen,,,Mana,2.8,,1930,,Intermediate,37,,1625,41,Low,41,37,295,193,11.08,,0,Culvert,Uncontrolled,4,,,4,4,Valve,FALSE,Walk,,Downstream Control,15 inches,0,2,34,Bare Soil,32,Vegetation,State Regulated Dam,11/16/2021,5,4/1/2016,TRUE,8/30/2022 15:52,State DHHL,Y,8/30/2022 15:52,,2,2nd Congressional District,Jill Tokuda,Democratic ,,41,35,0,,DLNR,X,U,41,295,0,0,0,,,,,,,,,HI,,https://dams.hawaii.gov/DamInformation.aspx?id=A3F66D3E-27B3-454E-B3A4-C19FEA0E89B6,UNSATISFACTORY,12/5/2022,,,"Under Investigation, Planning, Permitting, or Design for Remediation",1/6/2023,TRUE,TRUE,TRUE,,,TRUE,14743,RE,L,U,V,Unpaved,4x4,1,11/7/2011,1,11/7/2011,1,8/23/2011,0,,5/30/2017,0,3,0,0,FALSE,,,,,S,Hawaii Dept of Hawaiian Home Lands
HI00005,KA-0005,MANA RESERVOIR,NA,N,N,,Active,Kauai,Kauai,HI,22.031933,-159.758903,No,KAAWALOA STREAM OFFSTREAM,Irrigation,FALSE,Kaawaloa,(4) 1-2-002:001,Earthen,,,Mana,0.6,,1905,2015,Small,22,,1730,17,High,25,22,135,135,8.5,0.08,0.009411765,Channel,Controlled,3.25,,Concrete,3.25,3.25,Valve,FALSE,Walk,,Downstream,16 in,0,15.5,,,33.3,Bare Soil,State Regulated Dam,11/16/2021,5,6/1/2009,TRUE,8/11/2023 10:54,State DOA ADC,Y,8/11/2023 10:54,,2,2nd Congressional District,Jill Tokuda,Democratic ,,17,,,,DLNR,X,U,25,135,0,0,0,,,,,,,,,HI,,https://dams.hawaii.gov/DamInformation.aspx?id=3A533F2E-7A84-4511-A007-25DE4186CDED,UNSATISFACTORY,1/3/2023,,,"Under Investigation, Planning, Permitting, or Design for Remediation",1/6/2023,TRUE,TRUE,TRUE,,,TRUE,14745,RE,H,C,V,Gravel,Car,0,,0,,0,,0,,12/2/2015,0,2,0,0,FALSE,,,,,S,Agribusiness Development Corporation (ADC)
HI00006,KA-0006,WAIKAIA RESERVOIR,NA,N,N,,Active,Kauai,Kauai,HI,21.965841,-159.649262,No,FED BY IRRIGATION DITCH,Irrigation,FALSE,Waimea,(4) 1-7-005:002,Earthen,,,Kapalawai,1.2,,1951,,Small,26,,720,26,High,30,26,58,44,3.2,0.08,0.025,Channel,Controlled,10,,Concrete,10,10,Downstream Control,FALSE,Toe Access Road,,Downstream,Two 12 Inch Concrete Pipes,,17,34,Vegetation,26.6,Vegetation,State Regulated Dam,11/3/2021,5,6/1/2009,TRUE,7/30/2022 6:49,Kauai Gay & Robinson,Y,7/30/2022 6:49,,2,2nd Congressional District,Jill Tokuda,Democratic ,,26,21,15,,DLNR,X,U,30,58,0,0,0,,,,,,,,,HI,,https://dams.hawaii.gov/DamInformation.aspx?id=00830151-726D-4A56-90D3-7ADEF045217B,POOR,11/4/2022,,,Enforcement Pending/Ongoing,1/6/2023,TRUE,TRUE,TRUE,,,TRUE,14746,RE,H,C,,Unpaved,4x4 (wet conditions only),0,,0,,0,,,,5/31/2023,1,57,0,0,FALSE,,,,,P,Robinson Family Partners
HI00007,KA-0007,KEPANI RESERVOIR,NA,N,N,,Active,Kauai,Kauai,HI,22.002352,-159.617526,No,MAKAWELI RIVER OFFSTREAM,Irrigation,FALSE,Waimea,(4) 1-7-001:001,Earthen,,,WAIMEA,4,Towill - (Robinson 2010),1954,,Small,34,,860,35,High,40,34,85,72,3.2,0.05,0.015625,Channel,Uncontrolled,62,,Bare Soil,62,3.5,Upstream Control in Tower,FALSE,Bridge,,Upstream,30in x 36in (w x h),,21,30,Dumped Rock,30,Bare Soil,State Regulated Dam,11/3/2021,5,6/1/2009,TRUE,7/30/2022 6:46,Kauai Gay & Robinson,Y,7/30/2022 6:46,,2,2nd Congressional District,Jill Tokuda,Democratic ,,35,30,25,,DLNR,X,U,40,85,0,0,0,,,,,,,,,HI,,https://dams.hawaii.gov/DamInformation.aspx?id=74C970AF-6DE3-4F2A-92F9-B3CA46E9709A,POOR,11/4/2022,,,Enforcement Pending/Ongoing,1/6/2023,TRUE,TRUE,TRUE,,,TRUE,14747,RE,H,U,,Unpaved,4x4 (wet conditions only),0,,0,,0,,,,5/31/2023,2,52,0,0,FALSE,,,,,P,Robinson Family Partners
HI00008,KA-0008,WAIKOLOI RESERVOIR,NA,N,Y,,Active,Kauai,Kauai,HI,21.970039,-159.599525,Yes,WAIKOLOI STREAM,Irrigation,FALSE,Mahinauli,(4) 1-7-006:006,Earthen,,,Kaawanui Village,2.6,Towill (Robinson 2010),1958,,Intermediate,44,,505,64,High,50,44,147,130,5.2,0.089,0.017115385,Culvert,Uncontrolled,14,,Concrete,8,3,Other Controlled,FALSE,On Dam,,Upstream,"36""",17,40,23,Vegetation,27,Vegetation,State Regulated Dam,11/2/2021,5,6/1/2009,TRUE,7/30/2022 6:42,Kauai Gay & Robinson,Y,7/30/2022 6:42,,2,2nd Congressional District,Jill Tokuda,Democratic ,,47.628,42.168,20,,DLNR,X,U,64,147,0,0,0,,,,,,,,,HI,,https://dams.hawaii.gov/DamInformation.aspx?id=F80D932A-789C-40B5-8CF0-AB0CB0A88324,POOR,11/4/2022,,,Enforcement Pending/Ongoing,1/6/2023,TRUE,TRUE,TRUE,,,TRUE,14748,RE,H,U,O,Unpaved,4x4,0,,0,,0,,,,5/31/2023,99,8,0,0,FALSE,,,,,P,Robinson Family Partners
HI00009,KA-0009,KAAWANUI RESERVOIR,NA,N,N,,Active,Kauai,Kauai,HI,21.948871,-159.625244,No,KAAWANUI GULCH OFFSTREAM,Irrigation,FALSE,Mahinauli,(4) 1-7-006:006,Earthen,,,Kaawanui Village,0.4,,1950,,Small,20,,2560,26,High,25,20,110,83,9.2,0.014,0.001521739,Culvert,Controlled,4,200,Concrete,4,4,Downstream Control,FALSE,walk,,Downstream,Two 12 Inch CIPs,342.6,13,35,Dumped Rock,30,Vegetation,State Regulated Dam,11/2/2021,5,6/1/2009,TRUE,7/30/2022 6:39,Kauai Gay & Robinson,Y,7/30/2022 6:39,,2,2nd Congressional District,Jill Tokuda,Democratic ,,23,20.25,10,,DLNR,X,U,26,110,0,0,0,,,,,,,,,HI,,https://dams.hawaii.gov/DamInformation.aspx?id=2888D584-2D98-43EF-9D32-23FCA4F6E372,POOR,11/4/2022,,,Enforcement Pending/Ongoing,1/6/2023,TRUE,TRUE,TRUE,,,TRUE,14749,RE,H,C,,Unpaved,4x4,0,,0,,0,,,,5/31/2023,209,5,0,0,FALSE,,,,,P,Robinson Family Partners
HI00010,KA-0010,WAIAKALUA RESERVOIR,NA,Y,Y,,Active,Kauai,Kauai,HI,22.199814,-159.373854,Yes,WAIAKALUA STREAM,Recreation,FALSE,Pilaa,(4) 5-1-005:027,Earthen,,"(4) 5-1-005:025, (4) 5-1-005:029",Kilauea,2,,1920,2011,Small,18,,1200,23,High,20,18,220,184,13.3,0.43,0.032330827,Channel,Uncontrolled,6,,,0,5,Slide (sluice gate),FALSE,On Dam,,Upstream Control,3.75 x 3 ft,0,10,25,Bare Soil,34,Vegetation,State Regulated Dam,12/12/2022,5,6/1/2009,TRUE,3/3/2022 13:57,Kauai Waiakalua,Y,3/3/2022 13:57,,2,2nd Congressional District,Jill Tokuda,Democratic ,https://uhslc.soest.hawaii.edu/reservoir/?stn=EDD00CC6,27,17,,,DLNR,X,U,23,220,0,0,0,,,,,,,,,HI,,https://dams.hawaii.gov/DamInformation.aspx?id=F52FAF17-3D84-4019-9E7C-8B7F699DC1F0,POOR,9/29/2023,,,Enforcement Pending/Ongoing,1/6/2023,TRUE,TRUE,TRUE,,,TRUE,14750,RE,H,U,S,Paved,Car,0,,1,7/1/2022,1,6/29/2022,9,,3/11/2022,13,21,0,0,FALSE,12,11,,,P,"Frederic North, He Makana Ka Wai, Malie Wai Properties II, LLC, Matthew Miller, Theresa Drake, Thomas Atkin, V. Stephen Hunt, Victor Mission Trust LLC, William L. Flaherty, Trust"
HI00011,KA-0011,AII RESERVOIR,NA,N,N,,Active,Kauai,Kauai,HI,22.019367,-159.381311,No,TR-HANAMAULU STREAM OFFSTREAM,Irrigation,FALSE,Hanamaulu,(4) 3-9-002:002,Earthen,,(4) 3-8-002:001,Kapaia,1.9,,1920,,Small,20,,350,21,High,26,20,68,68,5.2,0.18,0.034615385,Channel,Uncontrolled,40,,Bare Soil,40,4,Slide (sluice gate),FALSE,Catwalk,,Upstream,"24""",325,14.5,17,Bare Soil,50,Ungrouted Riprap,State Regulated Dam,5/31/2023,5,6/1/2009,TRUE,5/31/2023 14:20,Kauai Grove Farm,Y,5/31/2023 14:20,,2,2nd Congressional District,Jill Tokuda,Democratic ,,24,19,9,,DLNR,X,U,26,68,0,0,0,,,,,,,,,HI,,https://dams.hawaii.gov/DamInformation.aspx?id=003B1114-A42F-4671-B4E6-C3CCDFC1F9AD,POOR,9/29/2023,Undersized spillway and does not meet slope stability,,Normal Operations,1/6/2023,TRUE,TRUE,TRUE,,,TRUE,14751,RE,H,U,S,Unpaved,Car,1,1/1/2022,0,,1,10/26/2018,,,,15,46,2,0,FALSE,,,,,P,Grove Farm Company
