,ELEV.m.,Island,LAT,LON,NCEI.id,NESDIS.id,NWS.id,Network,Observer,SCAN.id,SKN,SMART_NODE_RF.id,Station.Name,UID
54,581.5584,MA,20.6487999,-156.3981,,8170531A,ULUH1,HydroNet-UaNet,NWS,,250.2_R,,Ulupalakua Ranch,20.648800_-156.398100
55,225.552,MA,20.6195,-156.2518889,,F000D4EA,KPNH1,USGS,USGS,,255.0_R,,KepuniGulchRainGage,20.619500_-156.251889
56,1998.5736,MA,20.68305556,-156.3216667,,AA10F12E,KLFH1,RAWS,KULA 1,,267.8_R,,KULA 1,20.683056_-156.321667
57,302.0,MA,20.7903,-156.514,,15DF05C6,P36,STATE,NWS,,302.0_R,,MAALAEA BAY,20.790300_-156.514000
58,3.6576,MA,20.7975,-156.4772222,,32B2C438,KPDH1,RAWS,Kealia Pond NWR,,311.2_R,,Kealia Pond NWR,20.797500_-156.477222
59,54.5592,MA,20.7061005,-156.437,,93202508,KHIH1,HydroNet-UaNet,NWS,,311.5_R,,Kihei 2,20.706101_-156.437000
60,944.88,MA,20.7577991,-156.3217,USC00515000,93220610,KBSH1,HydroNet-UaNet,NWS,,324.7_R,,Kula Branch Stn,20.757799_-156.321700
61,1149.0,MA,20.80179746,-156.2805211,,,LKHH1,STATE,BD OF A&F,,329.0_R,,LOWER KAHUKU CS,20.801797_-156.280521
62,472.44,MA,20.81436111,-156.1429722,,DD5E710A,WWKH1,USGS,USGS,,348.5_R,,WestWailuaikiRainGagenrKeanae,20.814361_-156.142972
63,19.0,MA,20.7946,-156.0157,USC00511125,B150314C,HNAH1,HydroNet-UaNet,NWS,,353.0_R,,Hana AP,20.794600_-156.015700
64,238.0488,MA,20.8909,-156.6556,,81700366,LAHH1,HydroNet-UaNet,NWS,,361.1_R,,Lahainaluna,20.890900_-156.655600
65,1759.0,MA,20.89083333,-156.6008333,USC00514887,DD73556E,PKKH1,USGS,BALDWIN PKRS,,380.0_R,,PuuKukuiRainGageatalt,20.890833_-156.600833
66,146.9136,MA,20.8831005,-156.5124,,9321D776,WUKH1,HydroNet-UaNet,NWS,,386.6_R,,Wailuku,20.883101_-156.512400
67,233.76,MA,20.875,-156.516,,,AR427,APRSWXNET,unknown,,387.6_R,,Maui HI US AR427-AH6GR ,20.875000_-156.516000
68,145.9992,MA,20.8346996,-156.5135,,9320E016,WCCH1,HydroNet-UaNet,NWS,,390.4_R,,Waikapu Country Club,20.834700_-156.513500
69,12.0,MA,20.8887,-156.41,USW00022516,,PHOG,NWS,NOAA-NWS,,398.0_R,,KAHULUI AIRPORT,20.888700_-156.410000
70,495.9096,MA,20.8355007,-156.3307,,15D2B52E,PUKH1,HydroNet-UaNet,NWS,,426.6_R,,Pukalani,20.835501_-156.330700
71,473.95,MA,20.855,-156.315,,,AP834,APRSWXNET,unknown,,432.4_R,,Makawao AP834-KH6HHG,20.855000_-156.315000
72,223.1136,MA,20.9552002,-156.6562,,190524C8,MABH1,HydroNet-UaNet,NWS,,465.1_R,,Mahinahina,20.955200_-156.656200
73,335.28,MA,20.9540997,-156.5342,,781001B6,KHKH1,HydroNet-UaNet,Kahakuloa,,482.5_R,,Kahakuloa,20.954100_-156.534200
74,99.3648,MA,20.9288998,-156.3225,USC00510822,50A30568,AIKH1,HydroNet-UaNet,NWS,,489.0_R,,Haiku,20.928900_-156.322500
75,248.412,KO,20.52222222,-156.5658333,USR0000HKAN,32793370,KAOH1,RAWS,RAWS,,499.9_R,,KANELOA,20.522222_-156.565833
76,141.0,MO,21.15514996,-157.0924625,USW00022534,,PHMK,NWS,ALOHA AIRLINES,,524.0_R,,MOLOKAI KAUNAKAKAI MOLOKAI AIRPORT,21.155150_-157.092463
77,28.3464,MO,21.0946007,-157.0174,,50A0F2E2,KACH1,HydroNet-UaNet,MOLOKAI GEN HOSP,,536.5_R,,Kaunakakai Mauka,21.094601_-157.017400
78,833.0184,MO,21.115,-156.9475,USR0000HMLK,487016AC,MLKH1,RAWS,RAWS,,538.0_R,,MOLOKAI 1,21.115000_-156.947500
79,1159.764,MO,21.14083333,-156.9022222,,32D6062E,PAFH1,RAWS,Puu ALII WEST,,541.2_R,,Puu ALII WEST,21.140833_-156.902222
80,22.86,MO,21.20333333,-156.9661111,USR0000HMAK,FA9024CE,MKPH1,RAWS,RAWS,,553.0_R,,MAKAPULAPAI,21.203333_-156.966111
81,396.2,LA,20.7882389,-156.946639,USC00515275,,PHNY,NWS,HAWN AIRLINES,,656.0_R,,LANAI AIRPORT 656,20.788239_-156.946639
82,387.096,LA,20.87333333,-157.0063889,USR0000HLAN,48702336,LNIH1,RAWS,RAWS,,679.0_R,,LANAI 1,20.873333_-157.006389
83,15.0,OA,21.31667,-158.06667,USW00022551,,PHJR,NWS,NWS,,702.7_R,,Kapolei-Kalaeloa AP,21.316670_-158.066670
84,1.524,OA,21.3150005,-157.9992,,,PTWH1,HydroNet-UaNet,NWS,,702.8_R,,PTWC,21.315001_-157.999200
85,2.1,OA,21.324,-157.9294,USW00022521,,PHNL,NWS,USWB,,703.0_R,,HONOLULU INTERNATIONAL AIRPORT,21.324000_-157.929400
86,38.1,OA,21.3034,-157.8627,,,ALOH1,HydroNet-UaNet,NWS,,705.12_R,,Aloha Tower,21.303400_-157.862700
87,59.436,OA,21.2996006,-157.7944,USC00517662,19014414,PFSH1,HydroNet-UaNet,NWS,,721.4_R,,Palolo Fire Stn,21.299601_-157.794400
88,111.96,OA,21.298,-157.792,,,AU956,APRSWXNET,unknown,,721.5_R,,Honolulu HI US AU956-KH6CTR ,21.298000_-157.792000
89,19.812,OA,21.2896996,-157.7332,USC00516865,1900D38C,NIUH1,HydroNet-UaNet,NWS,,723.8_R,,Niu Valley,21.289700_-157.733200
90,242.316,OA,21.3085995,-157.6791,,190046EE,KMHH1,HydroNet-UaNet,NWS,,724.21_R,,Kamehame,21.308599_-157.679100
91,8.8392,OA,21.2991009,-157.6644,,,HAJH1,HydroNet-UaNet,NWS,,724.22_R,,Hawaii Kai Golf Course,21.299101_-157.664400
92,722.376,OA,21.385,-158.1041667,,4870F55E,PLHH1,RAWS,RAWS,,728.2_R,,PALEHUA,21.385000_-158.104167
93,1.524,OA,21.35666667,-158.0205556,,327BF39A,HOFH1,RAWS,FWS,,742.4_R,,HONOULIULI PHB,21.356667_-158.020556
94,1.524,OA,21.38694444,-157.9811111,,3274C092,WWFH1,RAWS,FWS,,752.6_R,,WAIAWA PHB,21.386944_-157.981111
95,304.8,OA,21.39338889,-157.8401111,,1689664A,MOGH1,USGS,USGS,,772.3_R,,MoanaluaRGNo.1atalt1000,21.393389_-157.840111
96,72.2376,OA,21.3736,-157.8801,USC00516400,1900B66A,MOAH1,HydroNet-UaNet,USGS,,772.5_R,,Moanalua Stream,21.373600_-157.880100
97,84.1248,OA,21.3875008,-157.8099,,,LULH1,HydroNet-UaNet,NWS,,781.12_R,,Luluku,21.387501_-157.809900
98,0.0,OA,21.408,-157.794,,,G0987,APRSWXNET,unknown,,781.21_R,,Kaneohe HI US G0987-GW0987 ,21.408000_-157.794000
99,50.0,OA,21.4,-157.806,,,D9459,APRSWXNET,unknown,,781.31_R,,Kaneohe HI US D9459-DW9459 ,21.400000_-157.806000
100,108.0,OA,21.3283,-157.801,,16EA459A,WISH1,USGS,USGS,,785.11_R,,WAIHI STREAM NEAR HONOLULU 3NE,21.328300_-157.801000
101,151.7904,OA,21.3330002,-157.8024,USC00516128,,MNLH1,HydroNet-UaNet,NWS,,785.4_R,,Manoa Lyon Arbo,21.333000_-157.802400
102,127.1016,OA,21.3509998,-157.7668,,19007374,MAUH1,HydroNet-UaNet,NWS,,787.2_R,,Maunawili,21.351000_-157.766800
103,142.9512,OA,21.3666992,-157.7786,,19005598,STVH1,HydroNet-UaNet,NWS,,788.2_R,,St Stephens Seminary,21.366699_-157.778600
104,45.1104,OA,21.3777008,-157.7507,USC00517052,19011468,OFSH1,HydroNet-UaNet,NWS,,790.11_R,,Olomana Fire Stn,21.377701_-157.750700
105,6.66,OA,21.3667,-157.717,,B14036D2,BELH1,STATE,NWS,,793.2_R,,BELLOWS AFS AT WAIMANALO,21.366700_-157.717000
106,20.1168,OA,21.3356991,-157.7116,,224185AC,WMLH1,HydroNet-UaNet,NWS,,795.3_R,,Waimanalo Nonokio,21.335699_-157.711600
107,19.812,OA,21.4566994,-158.18,,,WAIH1,HydroNet-UaNet,MT VIEW DAIRY,,801.1_R,,Waianae Kawiwi,21.456699_-158.180000
108,4.25,OA,21.4503,-158.184,,15D13434,WBHH1,STATE,NWS,,801.2_R,,WAIANAE BOAT HARBOR,21.450300_-158.184000
109,291.6936,OA,21.48055556,-158.1552778,USR0000HWVA,487005DA,WNVH1,RAWS,RAWS,,803.2_R,,WAIANAE VALLEY,21.480556_-158.155278
110,35.9664,OA,21.4211006,-158.1352,USC00515647,8170406C,LUAH1,HydroNet-UaNet,US VY,,804.0_R,,Lualualei,21.421101_-158.135200
111,255.0,OA,21.48722,-158.02806,USW00022508,B14101B2,WAFH1,NWS,COOP,,810.1_R,,WHEELER ARMY AIR FIELD 810.1,21.487220_-158.028060
112,226.7712,OA,21.4638004,-157.9991,USC00516261,,MITH1,HydroNet-UaNet,NWS,,820.6_R,,Mililani,21.463800_-157.999100
113,124.968,OA,21.4199009,-158.0058,,,PECH1,HydroNet-UaNet,NWS,,824.2_R,,Waipio,21.419901_-158.005800
114,381.0,OA,21.49944444,-157.9933333,USR0000HSCH,325AB384,SCEH1,RAWS,RAWS,,828.0_R,,SCHOFIELD EAST,21.499444_-157.993333
115,235.6104,OA,21.4440994,-157.9669,USC00519257,,WAWH1,HydroNet-UaNet,NWS,,834.13_R,,Waiawa CF,21.444099_-157.966900
116,182.69,OA,21.423,-157.952,,,F9678,APRSWXNET,unknown,,834.14_R,,Pearl City HI US F9678-FW9678 ,21.423000_-157.952000
117,261.8232,OA,21.4298,-157.9452,,,PACH1,HydroNet-UaNet,NWS,,835.2_R,,Palisades,21.429800_-157.945200
118,4.0,OA,21.48194,-157.8458,,162B784C,WHSH1,USGS,USGS,,837.12_R,,WAIAHOLE STREAM NEAR KAHALUU 2N,21.481940_-157.845800
119,6.396949,OA,21.43139,-157.81528,,3B052656,HRRH1,unknown,NWS,,837.8_R,,Heeia NERR,21.431390_-157.815280
120,74.0664,OA,21.4319992,-157.8373,,15CE7632,AHUH1,HydroNet-UaNet,NWS,,839.15_R,,Ahuimanu Loop ,21.431999_-157.837300
121,267.0048,OA,21.57027778,-158.26,,48710720,KKRH1,RAWS,S&PF,,841.2_R,,KUAOKALA,21.570278_-158.260000
122,286.097472,OA,21.50158333,-158.1801667,,DD1423F8,MKHH1,USGS,USGS,,842.1_R,,MakahaRainGage,21.501583_-158.180167
123,6.096,OA,21.52861111,-158.2261111,USR0000HMAR,3266B468,MKRH1,RAWS,RAWS,,842.8_R,,MAKUA RANGE,21.528611_-158.226111
124,533.4,OA,21.54277778,-158.1988889,USR0000HMRG,3266C2F8,MKGH1,RAWS,RAWS,,842.9_R,,MAKUA RIDGE,21.542778_-158.198889
125,31.0896,OA,21.57194444,-158.1986111,,3278D278,DLGH1,RAWS,RAWS,,843.7_R,,DILLIINGHAM,21.571944_-158.198611
126,220.0656,OA,21.5382004,-158.0893,,,POAH1,HydroNet-UaNet,NWS,,855.3_R,,Poamoho Exp Farm,21.538200_-158.089300
127,298.704,OA,21.495,-158.0819444,USR0000HSCO,3266A71E,SCBH1,RAWS,RAWS,,858.0_R,,SCHOFIELD BARRACKS,21.495000_-158.081944
128,73.152,OA,21.55644444,-157.899,,DD989652,PNSH1,USGS,USGS,,884.4_R,,PunaluuRainGageatalt,21.556444_-157.899000
129,698.9,OA,21.47747,-157.9369,,8379F6FA,OFRH1,RAWS,RAWS,,885.7_R,,OAHU FOREST NWR,21.477470_-157.936900
130,14.0,OA,21.5084922,-157.8555853,,16C69380,HAKH1,HydroNet-UaNet,KUALOA RANCH,,886.1_R,,Waikane - Hakipuu Mauka,21.508492_-157.855585
131,28.956,OA,21.54041667,-157.8825556,,17B972EE,KNRH1,USGS,USGS,,886.4_R,,KahanaRainGageatalt,21.540417_-157.882556
132,8.5344,OA,21.5067005,-157.8547,USC00510920,16C69380,PTRH1,HydroNet-UaNet,RILEY W,,886.8_R,,Hakipuu Mauka,21.506701_-157.854700
133,219.456,OA,21.62238889,-158.0143056,,DD34C1E4,KMRH1,USGS,USGS,,897.11_R,,KamananuiRainGageatalt,21.622389_-158.014306
134,353.568,OA,21.59902778,-158.0169167,,1713D512,PPRH1,USGS,USGS,,897.9_R,,PupukeaRdRainGageatalt,21.599028_-158.016917
135,3.96,OA,21.65,-157.929,,,C5306,APRSWXNET,unknown,,903.4_R,,Laie HI US C5306-CW5306 ,21.650000_-157.929000
136,3.9624,OA,21.5842991,-157.8916,,19051152,PUNH1,HydroNet-UaNet,NWS,,905.22_R,,Punaluu Pump,21.584299_-157.891600
137,181.6608,OA,21.67916667,-157.9894444,USR0000HKAH,325A861E,KTAH1,RAWS,RAWS,,909.0_R,,KAHUKU TRAINING AREA,21.679167_-157.989444
138,1.524,OA,21.68833333,-157.9525,USR0000HKII,8375210E,KFWH1,RAWS,RAWS,,911.1_R,,KII,21.688333_-157.952500
139,4.0,OA,21.695,-157.9811,USC00512570,B1404042,KAHH1,COOP,KUILIMA  GOLF,,912.0_R,,KAUHUKU 912,21.695000_-157.981100
140,9.0,KA,21.89381249,-159.6010997,USW0022526,B159A272,PAKH1,COOP,FAA,,926.0_R,,PORT ALLEN CAA AIRPORT,21.893812_-159.601100
141,14.8,KA,21.8828,-159.429,,B15997E8,POIH1,STATE,NWS,,940.3_R,,POIPU,21.882800_-159.429000
142,159.7152,KA,21.96638889,-159.6638889,,487090B8,WHGH1,RAWS,RAWS,,946.0_R,,WAIMEA HTS,21.966389_-159.663889
143,70.0,KA,21.964722,-159.666944,,1900E616,WMTH1,unknown,NWS,,946.1_R,,WAIMEA TANK AT WAIMEA,21.964722_-159.666944
144,110.6424,KA,21.9365005,-159.5866,,156011EA,HNPH1,HydroNet-UaNet,NWS,,966.4_R,,Hanapepe,21.936501_-159.586600
145,263.0424,KA,21.9183006,-159.5265,,1560740C,KHEH1,HydroNet-UaNet,KUKUILONO GOLF COU,,986.2_R,,Kalaheo,21.918301_-159.526500
146,99.9744,KA,21.9071007,-159.4768,USC00517116,195001A6,OMAH1,HydroNet-UaNet,NWS,,992.1_R,,Omao,21.907101_-159.476800
147,45.0,KA,21.98156999,-159.3422063,USW00022536,,PHLI,NWS,LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1,,1020.1_R,,LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1,21.981570_-159.342206
148,26.2128,KA,22.02944444,-159.7622222,,4870603C,MNRH1,RAWS,RAWS,,1029.0_R,,MANA,22.029444_-159.762222
149,652.8816,KA,22.04083333,-159.6958333,,4870734A,POPH1,RAWS,RAWS,,1036.0_R,,PUU OPAE,22.040833_-159.695833
150,1219.2,KA,22.08972222,-159.5925,,DDF7C28E,WLGH1,USGS,USGS,,1042.0_R,,WaialaeRainGagenrWaimea,22.089722_-159.592500
151,1569.72,KA,22.07088889,-159.4979722,USC00516565,DD5E818E,WLLH1,USGS,USGS,,1047.0_R,,Mt.WaialealeRainGagenrLihue,22.070889_-159.497972
152,338.328,KA,22.0625,-159.4677222,USC00516888,1732B3E0,WLDH1,USGS,LIHUE PLANTATION,,1051.0_R,,NWailuaDitchRainGagenrLihue,22.062500_-159.467722
153,117.0432,KA,22.0240002,-159.3868,,1561501A,LIHH1,HydroNet-UaNet,NWS,,1059.0_R,,Lihue Variety Stn,22.024000_-159.386800
154,158.1912,KA,22.0660992,-159.396,USC00519475,,WUHH1,HydroNet-UaNet,NWS,,1060.0_R,,Wailua UH Exp Stn,22.066099_-159.396000
155,158.0,KA,22.066,-159.3962,,15C163D6,WUHH1,HydroNet-UaNet,NWS,,1061.5_R,,Wailua UH Exp Stn,22.066000_-159.396200
156,122.0,KA,22.071,-159.359,,,F0098,APRSWXNET,unknown,,1063.3_R,,Kapaa HI US F0098-AH7L ,22.071000_-159.359000
157,106.41,KA,22.072,-159.376,,,F9608,APRSWXNET,unknown,,1065.3_R,,Kapaa HI US F9608-FW9608 ,22.072000_-159.376000
158,1021.08,KA,22.08916667,-159.6791667,,487083CE,PLRH1,RAWS,RAWS,,1069.0_R,,PUU LUA,22.089167_-159.679167
159,544.9824,KA,22.13055556,-159.7152778,USR0000HMAH,3286026C,MKAH1,RAWS,RAWS,,1074.0_R,,MAKAHA RIDGE,22.130556_-159.715278
160,1279.2456,KA,22.1485996,-159.6448,,1900E616,KOKH1,HydroNet-UaNet,NWS,,1076.0_R,,Kokee,22.148600_-159.644800
161,1042.416,KA,22.1245,-159.6220833,519130,17B79574,WKRH1,USGS,USGS,,1082.0_R,,WaiakoaliRainGagenrWaimea,22.124500_-159.622083
162,1042.416,KA,22.11708333,-159.6009722,USC00516433,D109224A,MCRH1,USGS,USGS,,1083.0_R,,MoCrsgRainGagenrWaimea,22.117083_-159.600972
163,1219.2,KA,22.15408333,-159.5946111,USC00514610,DDCC972A,KLOH1,USGS,USGS,,1084.0_R,,KilohanaRainGafenrHanalei,22.154083_-159.594611
164,158.496,KA,22.1021004,-159.3856,USC00513171,15608488,KPIH1,HydroNet-UaNet,NWS,,1094.2_R,,Kapahi,22.102100_-159.385600
165,75.2856,KA,22.1373997,-159.312,,1560029C,ANHH1,HydroNet-UaNet,HAWN FRUIT PACKERS,,1111.4_R,,Anahola,22.137400_-159.312000
166,4.8768,KA,22.1982002,-159.4951,USC00513386,,HNIH1,HydroNet-UaNet,NWS,,1117.8_R,,Hanalei,22.198200_-159.495100
167,88.497,KA,22.2114,-159.443,,B15952F6,PRIH1,STATE,NWS,,1117.9_R,,PRINCEVILLE AIRPORT NEAR KILAUEA 4W,22.211400_-159.443000
168,85.344,KA,22.18333333,-159.3375,USR0000HMOL,AAB6D15A,MLDH1,RAWS,RAWS,,1146.0_R,,Moloaa Dairy,22.183333_-159.337500
0,1273.0,BI,19.135,-155.747,US1HIHI0035,,,CoCoRaHS,HAWAIIAN OCEAN VIEW 4.7 NNE,,3.22_R,,HAWAIIAN OCEAN VIEW 4.7 NNE,19.135000_-155.747000
2,391.0,BI,19.0424,-155.6354,US1HIHI0001,,,CoCoRaHS,NAALEHU 4.6 WSW,,4.12_R,,NAALEHU 4.6 WSW,19.042400_-155.635400
3,393.18,BI,19.0421,-155.6371,US1HIHI0057,,,CoCoRaHs,CoCoRaHs,,4.14_R,,"NAALEHU 4.7 WSW, HI US",19.042100_-155.637100
5,679.0,BI,19.0732,-155.6632,US1HIHI0012,,,CoCoRaHS,NAALEHU 5.7 W,,6.2_R,,NAALEHU 5.7 W,19.073200_-155.663200
7,21.0,BI,19.13310292,-155.5152744,USC00518600,,,COOP,SEA MOUNTAIN,,12.15_R,,SEA MOUNTAIN 12.15,19.133103_-155.515274
8,206.0,BI,19.06032754,-155.5855501,USC00516588,,,COOP,KAU SUGAR,,14.0_R,,NAALEHU 14,19.060328_-155.585550
11,332.0,BI,19.4403158,-155.8788789,USC00511665,,,COOP,TANAKA S,,27.0_R,,HONAUNAU 27,19.440316_-155.878879
